text,line,start_pos,end_pos,file,label_struck
NUCLEAR REGULATORY COMMISSION,0,0,29,ML15313A275.txt,U
REGION III 2443 WARRENVILLE RD.,1,0,31,ML15313A275.txt,U
"SUITE 210 LISLE, IL 60532-4352",1,31,61,ML15313A275.txt,U
UNITED STATES,3,0,13,ML15313A275.txt,U
"November 6, 2015 Mr. Kevin Davison Site Vice President Prairie Island Nuclear Generating Plant Northern States Power Company, Minnesota 1717 Wakonade Drive East Welch, MN 55089 SUBJECT: PRAIRIE ISLAND NUCLEAR GENERATING PLANT, UNITS 1 AND 2 Â­ NRC INTEGRATED INSPECTION REPORT 05000282/2015003; 05000306/2015003; AND 07200010/2015001 Dear Mr. Davison: On September 30, 2015, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Prairie Island Nuclear Generating Plant, Units 1 and 2.",5,0,506,ML15313A275.txt,U
"The enclosed report documents the results of this inspection, which were discussed on October 8, 2015, with you, and other members of your staff.",5,506,651,ML15313A275.txt,U
Two NRC-identified findings of very low safety significance (Green) were identified during this inspection.,5,651,758,ML15313A275.txt,U
The issues were determined to involve violations of NRC requirements.,5,758,827,ML15313A275.txt,U
The NRC is treating these violations as non-cited violations (NCVs) in accordance with Section 2.3.2 of the NRC Enforcement Policy.,5,827,958,ML15313A275.txt,U
"Additionally, one licensee-identified violation is listed in Section 4OA7 of this report.",5,958,1047,ML15313A275.txt,U
"If you contest the violations or significance of these NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington DC 20555-0001; with copies to the Regional Administrator, Region III; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at the Resident Inspector Office at the Prairie Island Nuclear Generating Plant.",5,1047,1588,ML15313A275.txt,U
"If you disagree with the cross cutting aspect assigned to any finding in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region III, and the NRC Resident Inspector at the Resident Inspector Office at the Prairie Island Nuclear Generating Plant.",5,1588,1950,ML15313A275.txt,U
K. Davidson,7,0,12,ML15313A275.txt,U
-2-,9,0,3,ML15313A275.txt,U
"In accordance with Title 10 of the Code of Federal Regulations (10 CFR) 2.390, ""Public Inspections, Exemptions, Requests for Withholding,"" of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any) will be available electronically for public inspection in the NRC's Public Document Room or from the Publicly Available Records (PARS) component of the NRC's Agencywide Documents Access and Management System (ADAMS).",11,0,454,ML15313A275.txt,U
ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,11,454,577,ML15313A275.txt,U
"Sincerely, /RA/ Kenneth Riemer, Chief Branch 2 Division of Reactor Projects Docket Nos.",11,577,664,ML15313A275.txt,U
50-282; 50-306; 72-010 License Nos.,11,664,699,ML15313A275.txt,U
DPR-42; DPR-60; SNM-2506 Enclosure: Inspection Report 05000282/2015003; 05000306/2015003 and 07200010/2015001 w/Attachment: Supplemental Information cc w/encl: Distribution via LISTSERVÂ®,11,699,885,ML15313A275.txt,U
"U.S. NUCLEAR REGULATORY COMMISSION REGION III Docket Nos: License Nos: Report No: 50-282; 50-306; 72-010 DPR-42; DPR-60; SNM-2506 05000282/2015003; 05000306/2015003; and 07200010/2015001 Northern States Power Company, Minnesota Prairie Island Nuclear Generating Plant, Units 1 and 2 Welch, MN July 1, 2015, through October 30, 2015 L. Haeg, Senior Resident Inspector P. LaFlamme, Resident Inspector R. Edwards, Senior Health Physicist B. Palagi, Senior Operations Engineer D. Reeser, Operations Engineer N. Valos, Senior Reactor Analyst S. Bell, Health Physicist K. Riemer, Chief Branch 2 Division of Reactor Projects",13,0,618,ML15313A275.txt,U
Licensee: Facility: Location: Dates: Inspectors:,15,0,48,ML15313A275.txt,U
Approved by:,17,0,12,ML15313A275.txt,U
Enclosure,19,0,9,ML15313A275.txt,U
TABLE OF CONTENTS SUMMARY OF FINDINGS ......................................................................................................... 2 REPORT DETAILS .................................................................................................................... 5 Summary of Plant Status ................................................................................................ 5 1.,21,0,406,ML15313A275.txt,U
REACTOR SAFETY ....................................................................................................... 5 1R04 Equipment Alignment (71111.04) ........................................................................ 5 1R05 Fire Protection (71111.05AQ) ............................................................................. 6 1R06 Flood Protection Measures (71111.06) ............................................................... 7 1R11 Licensed Operator Requalification Program (71111.11) ...................................... 7 1R12 Maintenance Effectiveness (71111.12) ..............................................................10 1R13 Maintenance Risk Assessments and Emergent Work Control (71111.13) ..........11 1R15 Operability Determinations and Functionality Assessments (71111.15) .............12 1R18 Plant Modifications (71111.18) ...........................................................................18 1R19 Post-Maintenance Testing (71111.19) ...............................................................19 1R22 Surveillance Testing (71111.22).........................................................................20 1EP2 Alert and Notification System Evaluation (71114.02) ..........................................21 1EP3 Emergency Response Organization Staffing and Augmentation System (71114.03) .........................................................................................................21 1EP5 Maintenance of Emergency Preparedness (71114.05) ......................................22 2.,21,406,1960,ML15313A275.txt,U
